,A_持有0050,B_動能Top5,C_動能+濾網,D_0050均線,C_週一開盤成交,C_最差成交
2020-07-24,99914.58118420433,99914.65839085371,99914.65839085371,99914.58118420433,100000.0,100000.0
2020-07-27,104783.05168896508,103886.59360585005,103886.59360585005,104783.05168896508,102050.39123703464,98733.36198502732
2020-07-28,105087.33621960472,102534.40036091597,102534.40036091597,105087.33621960472,100748.62229706271,97475.10820466233
2020-07-29,104022.3722456057,102844.43669972212,102844.43669972212,104022.3722456057,101044.34308029636,97759.58217698289
2020-07-30,105543.75846081566,104301.81544575484,104301.81544575484,105543.75846081566,102491.6580255173,99180.09772950364
2020-07-31,105290.18650036644,104158.15431645034,104158.15431645034,105290.18650036644,102417.45161606296,99089.09623032762
2020-08-03,103464.49753552269,104792.99597599624,104792.99597599624,103464.49753552269,103142.5116004115,98846.65656430312
2020-08-04,104783.05168896508,108061.51332333205,108061.51332333205,104783.05168896508,106344.78263655957,101917.26318890639
2020-08-05,105797.32131176781,108406.92492153762,108406.92492153762,105797.32131176781,106690.6828517085,102244.74382550307
2020-08-06,106913.0160749514,109599.60235836623,109599.60235836623,106913.0160749514,107867.47865096387,103283.70924908706
2020-08-07,106152.30019360375,107313.95152630672,107313.95152630672,106152.30019360375,105647.2468146449,101190.00386197158
2020-08-10,107115.88457470726,106724.7366310583,106724.7366310583,107115.88457470726,105037.16238292264,100577.16796545903
2020-08-11,106304.4470136721,106039.04929509028,106039.04929509028,106304.4470136721,104363.86909373807,99935.32101874272
2020-08-12,104732.34822827172,103618.76931729182,103618.76931729182,104732.34822827172,101983.4579971652,97653.29593520085
2020-08-13,105746.59963208031,105449.65539708003,105449.65539708003,105746.59963208031,103774.00010570096,99396.87498907963
2020-08-14,106000.16248303246,105444.72207606562,105444.72207606562,106000.16248303246,103773.99990161466,99402.60792021672
2020-08-17,107115.88457470726,107013.78387225397,107013.78387225397,107115.88457470726,105344.2038990694,100868.2593119134
2020-08-18,106507.31551342797,105756.06022799738,105756.06022799738,106507.31551342797,104106.52513854083,99665.63409066095
2020-08-19,105746.59963208031,103844.64666903742,103844.64666903742,105746.59963208031,102221.10352294025,97890.98104500666
2020-08-20,102044.53646069359,98217.39006579646,98217.39006579646,102044.53646069359,96677.75166670856,92648.88228249445
2020-08-21,104275.92598706078,100269.09268030057,100269.09268030057,104275.92598706078,98776.12110487995,94654.36521553888
2020-08-24,104580.20140820336,102110.59583124051,102110.59583124051,104580.20140820336,100153.24446010691,95383.48937777514
2020-08-25,105391.6116407473,104433.71607812772,104433.71607812772,105391.6116407473,102432.33180713755,97545.50892046923
2020-08-26,105797.32131176781,104575.11964734922,104575.11964734922,105797.32131176781,102571.30162716014,97667.78526953692
2020-08-27,106050.88416271996,104001.30918821225,104001.30918821225,106050.88416271996,102008.51410389048,97148.5188358211
2020-08-28,104985.89286022972,102785.8023019863,102785.8023019863,104985.89286022972,100916.44028759105,96095.77247694964
2020-08-31,103261.65636425804,104711.89143238791,104711.89143238791,103261.65636425804,101832.06601326872,95423.37675561875
2020-09-01,104833.7642591555,106821.77805481681,106821.77805481681,104833.7642591555,103883.95218794752,97341.52986040086
2020-09-02,104478.79448681664,107191.47112618216,107191.47112618216,104478.79448681664,104211.50929682661,97598.26986589402
2020-09-03,104783.05168896508,108654.8568111492,108654.8568111492,104783.05168896508,105628.3351387303,98916.02920618028
2020-09-04,104022.3722456057,109409.03855290488,109409.03855290488,104022.3722456057,106349.98185055662,99532.46534814805
2020-09-07,103870.21631604027,111282.25304284171,111282.25304284171,103870.21631604027,108069.74157056789,101074.26323306974
2020-09-08,104478.79448681664,108821.60999932364,108821.60999932364,104478.79448681664,105709.00146875362,98889.20430553373
2020-09-09,103768.80028515648,110481.00891938285,110481.00891938285,103768.80028515648,107271.50908908824,100362.86827171262
2020-09-10,104681.61743908715,109522.04148736075,109522.04148736075,104681.61743908715,106352.63101682643,99512.43370807584
2020-09-11,104732.34822827172,106648.30045736294,106648.30045736294,104732.34822827172,103596.06974277477,96996.2114838403
2020-09-14,106050.88416271996,106427.55002344113,106427.55002344113,106050.88416271996,103385.95520289973,96785.58595493904
2020-09-15,106456.5847242434,108801.63311231595,108801.63311231595,106456.5847242434,105672.82558425501,98914.98517445198
2020-09-16,108079.42340832543,107932.81323898297,107932.81323898297,108079.42340832543,104873.06907399729,98193.97448090187
2020-09-17,106913.0160749514,107947.14996040326,107947.14996040326,106913.0160749514,104873.68160947398,98183.69140556923
2020-09-18,106811.59093457054,107900.43550257619,107900.43550257619,106811.59093457054,104844.7301824911,98155.49655369393
2020-09-21,105949.44991284203,106787.76338534291,106787.76338534291,105949.44991284203,103755.3903476123,97043.93670545293
2020-09-22,104580.20140820336,106454.80752520497,106454.80752520497,104580.20140820336,103430.7677089099,96741.33515439702
2020-09-23,104428.054588135,105187.45826296743,105187.45826296743,104428.054588135,102204.4427176837,95604.55432401372
2020-09-24,101892.38964062523,102261.05911498006,102261.05911498006,101892.38964062523,99362.78408016005,92954.79746375752
2020-09-25,102095.26724987816,103224.5604684551,103224.5604684551,102095.26724987816,100389.9043327693,93905.92958007527
2020-09-28,103768.80028515648,105679.65421368674,105679.65421368674,103768.80028515648,102966.39330972271,95816.63399751845
2020-09-29,104022.3722456057,105651.98681714133,105651.98681714133,104022.3722456057,102945.56365502911,95798.47942979995
2020-09-30,104478.79448681664,107665.17133019192,107665.17133019192,104478.79448681664,104892.7665039404,97602.65577037993
2020-10-05,104529.48883801293,109017.87857887967,109017.87857887967,104529.48883801293,106215.54913281379,98777.92433966007
2020-10-06,105746.59963208031,109143.07603523953,109143.07603523953,105746.59963208031,106336.55638073859,98896.64840734805
2020-10-07,106304.4470136721,110524.7828967355,110524.7828967355,106304.4470136721,107673.2722024816,100133.23103178348
2020-10-08,107724.40808850121,113054.71208882179,113054.71208882179,107724.40808850121,110126.7023877996,102422.58449209537
2020-10-12,108586.5582197268,112977.98799061622,112977.98799061622,108586.5582197268,110049.97024214453,102296.78839297475
2020-10-13,108637.26168042015,113654.98753380623,113654.98753380623,108637.26168042015,110705.3609014768,102922.14377017201
2020-10-14,108231.55200939965,113964.41327690925,113964.41327690925,108231.55200939965,111008.19809115118,103201.76147265614
2020-10-15,107217.30060559105,113821.07556843605,113821.07556843605,107217.30060559105,110869.74980461782,103078.4695338744
2020-10-16,106760.86925488304,113138.78669903858,113138.78669903858,106760.86925488304,110217.63753903097,102472.29130168141
2020-10-19,108130.11775952172,114127.00185511692,114127.00185511692,108130.11775952172,111209.8329482383,103345.84244429732
2020-10-20,107521.57602673363,113981.92321560963,113981.92321560963,107521.57602673363,111061.68594506447,103202.68800437117
2020-10-21,107470.85434704613,114369.5428807555,114369.5428807555,107470.85434704613,111444.93405678932,103561.7370804515
2020-10-22,107622.97383862328,115437.83142588718,115437.83142588718,107622.97383862328,112497.9321418113,104525.90014159346
2020-10-23,107622.97383862328,117292.44953534611,117292.44953534611,107622.97383862328,114292.25587514107,106201.49781405593
2020-10-26,107622.97383862328,121710.96844813832,121710.96844813832,107622.97383862328,118583.84120547413,110038.18334710649
2020-10-27,107014.42299633812,121608.81416032322,121608.81416032322,107014.42299633812,118482.92162549138,109961.01177203706
2020-10-28,106507.31551342797,118697.22664401539,118697.22664401539,106507.31551342797,115630.08924662709,107366.92128121904
2020-10-29,105340.91728955101,118675.63296887882,118675.63296887882,105340.91728955101,115617.84555375218,107325.78276526979
2020-10-30,104478.79448681664,116126.22029836779,116126.22029836779,104478.79448681664,113236.00229823231,105075.81090676835
2020-11-02,104884.46771984886,116083.8479138196,116083.8479138196,104884.46771984886,113158.46893679856,104502.02500206366
2020-11-03,106101.58762341332,116771.85312231188,116771.85312231188,106101.58762341332,113826.43000256775,105120.45202309027
2020-11-04,107673.71373730492,120323.61879594927,120323.61879594927,107673.71373730492,117278.74627244232,108305.42183929816
2020-11-05,107572.28859692406,119139.74571712618,119139.74571712618,107572.28859692406,116124.76029669998,107236.49094444647
2020-11-06,108231.55200939965,121159.1182934353,121159.1182934353,108231.55200939965,118194.96740567444,109141.645140232
2020-11-09,109651.50397473168,126964.92680040094,126964.92680040094,109651.50397473168,123496.88921027238,113615.09860653116
2020-11-10,108637.26168042015,121970.94669404718,121970.94669404718,108637.26168042015,118641.44130187089,109181.59140629007
2020-11-11,110310.7856062014,123183.07243791314,123183.07243791314,110310.7856062014,119821.85857825333,110290.82746738626
2020-11-12,110361.49817639183,119783.99523034783,119783.99523034783,110361.49817639183,116500.12361674363,107330.72015041544
2020-11-13,110817.93863659691,121230.58437912683,121230.58437912683,110817.93863659691,118020.66664319093,108717.68252891733
2020-11-16,114418.58577709984,124250.4714183114,124250.4714183114,114418.58577709984,120622.91369371902,110716.12084710273
2020-11-17,115229.96868115258,125085.42752068261,125085.42752068261,115229.96868115258,121433.41402559768,111459.30983292732
2020-11-18,115990.6936719973,129638.00883000116,129638.00883000116,115990.6936719973,125840.35551767837,115468.27262723121
2020-11-19,115787.81606274437,128100.10283892373,128100.10283892373,115787.81606274437,124346.34048109542,114085.2850016323
2020-11-20,115635.66924267601,129915.79928977834,129915.79928977834,115635.66924267601,126229.65634184371,115799.17769229088
2020-11-23,117106.36110668968,134214.3971162592,134214.3971162592,117106.36110668968,130328.88016323018,119153.77610628144
2020-11-24,116548.51372509789,136527.99292810308,136527.99292810308,116548.51372509789,132565.09718517232,121180.62358133332
2020-11-25,115584.97489147972,137153.06162460195,137153.06162460195,115584.97489147972,133158.13202337193,121716.61392347352
2020-11-26,116497.81026440453,139351.35165984975,139351.35165984975,116497.81026440453,135276.80026296544,123637.60362951295
2020-11-27,116294.95998364281,139967.33382083825,139967.33382083825,116294.95998364281,135915.93615011143,124231.85020963685
2020-11-30,114925.69326001,139351.0976395791,139351.0976395791,114925.69326001,135398.36013118946,123635.78650342737
2020-12-01,115939.96288281273,139746.412663955,139746.412663955,115939.96288281273,135756.39307205402,123921.44868146692
2020-12-02,117055.65764599633,140071.45211173943,140071.45211173943,117055.65764599633,136088.67663376057,124235.65298902307
2020-12-03,117055.65764599633,141413.28173496178,141413.28173496178,117055.65764599633,137346.2526559087,125334.30797445093
2020-12-04,118982.74442272972,143896.75388490222,143896.75388490222,118982.74442272972,139961.53215019428,127631.11191236292
2020-12-07,120098.44829541039,145437.5417266991,145437.5417266991,120098.44829541039,139968.5025107285,125779.21705921915
2020-12-08,121771.99954968285,149468.95991288684,149468.95991288684,121771.99954968285,143898.11990422214,129284.85299595621
2020-12-09,121771.99954968285,153335.58248673938,153335.58248673938,121771.99954968285,147680.36296147312,132694.0922575834
2020-12-10,120301.30768566918,152913.68338929676,152913.68338929676,120301.30768566918,147314.21988743747,132397.57744511392
2020-12-11,120453.4362867434,150162.53171619083,150162.53171619083,120453.4362867434,144789.32270688022,130154.67187603739
2020-12-14,119946.3105848391,155282.0703533521,155282.0703533521,119946.3105848391,149083.06061989948,131165.42725235963
2020-12-15,118729.20890026879,152198.68856986667,152198.68856986667,118729.20890026879,146126.75662095234,128462.29936177276
2020-12-16,120960.56198864769,155254.71577819492,155254.71577819492,120960.56198864769,149042.90838105365,131010.45692212127
2020-12-17,120301.30768566918,155360.91123851444,155360.91123851444,120301.30768566918,149151.60574776813,131131.66613823915
2020-12-18,119895.59801464867,159236.28018578095,159236.28018578095,119895.59801464867,152998.59598786518,134351.59440381074
2020-12-21,121062.00534802269,164641.21273907227,164641.21273907227,121062.00534802269,158194.36643091624,138409.80341006813
2020-12-22,119692.73862438988,159728.11615284486,159728.11615284486,119692.73862438988,153495.24718538707,134358.22527171668
2020-12-23,119844.88544445824,164892.24944790406,164892.24944790406,119844.88544445824,158417.77362696116,138600.19743205604
2020-12-24,120504.1579664309,167788.91921146913,167788.91921146913,120504.1579664309,161197.17796770518,141028.42373134193
2020-12-25,120656.28656750511,173750.38200111606,173750.38200111606,120656.28656750511,167019.36952749675,145960.86889125404
2020-12-28,121721.27786999535,182501.8451606772,182501.8451606772,121721.27786999535,175243.60177869658,152593.14680623327
2020-12-29,121619.83451062035,186885.66187019565,186885.66187019565,121619.83451062035,179318.4053370462,156079.3578391007
2020-12-30,123344.08922558617,188267.3240186713,188267.3240186713,123344.08922558617,180692.67541475157,157310.7499422959
2020-12-31,124003.3708570559,192058.16661747228,192058.16661747228,124003.3708570559,184411.4628607736,160471.67254781042
2021-01-04,126133.31702404808,196727.1787882639,196727.1787882639,126133.31702404808,189491.88283355944,163575.21490513065
2021-01-05,126386.8889844973,198060.8668270899,198060.8668270899,126386.8889844973,190782.59375293963,164709.95502411106
2021-01-06,127756.14659863304,190263.8132162882,190263.8132162882,127756.14659863304,183483.32637413256,158492.3368209479
2021-01-07,130748.2155683596,183220.92816551458,183220.92816551458,130748.2155683596,176903.20665081256,152939.42550789096
2021-01-08,133081.0393446047,190542.4443657387,190542.4443657387,133081.0393446047,184093.64594372027,159202.43516670444
2021-01-11,134196.74321728537,197915.55089878922,197915.55089878922,134196.74321728537,191508.56027891103,164313.42162651234
2021-01-12,133993.8747175295,187807.80169987565,187807.80169987565,133993.8747175295,181824.58204938832,155981.86171669178
2021-01-13,137239.5156477053,187386.6118252266,187386.6118252266,137239.5156477053,181457.27289487782,155649.84952682667
2021-01-14,135971.6831739504,190020.87521290666,190020.87521290666,135971.6831739504,183965.93178846303,157851.3192781847
