GrossProfit,IncomeAfterTaxes,Revenue,ticker,qend,avail_date
21648841000.0,,,2330.TW,2005-03-31,2005-05-15
23205195000.0,,,2330.TW,2005-06-30,2005-08-14
30525356000.0,,,2330.TW,2005-09-30,2005-11-14
39864657000.0,,,2330.TW,2005-12-31,2006-03-31
36641982000.0,,77293344000.0,2330.TW,2006-03-31,2006-05-15
40886767000.0,,81227347000.0,2330.TW,2006-06-30,2006-08-14
39261209000.0,,81425249000.0,2330.TW,2006-09-30,2006-11-14
32928442000.0,,73935695000.0,2330.TW,2006-12-31,2007-03-31
23968203000.0,,63346589000.0,2330.TW,2007-03-31,2007-05-15
30887920000.0,,72851930000.0,2330.TW,2007-06-30,2007-08-14
39446979000.0,,86460601000.0,2330.TW,2007-09-30,2007-11-14
43121318000.0,,90988524000.0,2330.TW,2007-12-31,2008-03-31
37365607000.0,,85230103000.0,2330.TW,2008-03-31,2008-05-15
39350040000.0,,85594143000.0,2330.TW,2008-06-30,2008-08-14
41768273000.0,,90116627000.0,2330.TW,2008-09-30,2008-11-14
19693623000.0,,60826210000.0,2330.TW,2008-12-31,2009-03-31
7842363000.0,,37559694000.0,2330.TW,2009-03-31,2009-05-15
33893204000.0,,71996516000.0,2330.TW,2009-06-30,2009-08-14
41494438000.0,,87190313000.0,2330.TW,2009-09-30,2009-11-14
43406244000.0,,88996345000.0,2330.TW,2009-12-31,2010-03-31
42516739000.0,,89174508000.0,2330.TW,2010-03-31,2010-05-15
49470913000.0,,101635757000.0,2330.TW,2010-06-30,2010-08-14
53344946000.0,,109307066000.0,2330.TW,2010-09-30,2010-11-14
51709446000.0,,106845981000.0,2330.TW,2010-12-31,2011-03-31
49058590000.0,,102548478000.0,2330.TW,2011-03-31,2011-05-15
48069570000.0,,107845295000.0,2330.TW,2011-06-30,2011-08-14
42847743000.0,,104819342000.0,2330.TW,2011-09-30,2011-11-14
45186522000.0,,103032378000.0,2330.TW,2011-12-31,2012-03-31
48495883000.0,,104248736000.0,2330.TW,2012-03-31,2012-05-15
60315108000.0,,126500546000.0,2330.TW,2012-06-30,2012-08-14
66166331000.0,,139636984000.0,2330.TW,2012-09-30,2012-11-14
59356025000.0,,129485621000.0,2330.TW,2012-12-31,2013-03-31
60766270000.0,39535543000.0,132754996000.0,2330.TW,2013-03-31,2013-05-15
76418800000.0,51761503000.0,155886320000.0,2330.TW,2013-06-30,2013-08-14
78940570000.0,51934752000.0,162577034000.0,2330.TW,2013-09-30,2013-11-14
64840737000.0,44787139000.0,145805847000.0,2330.TW,2013-12-31,2014-03-31
70379079000.0,47845778000.0,148215172000.0,2330.TW,2014-03-31,2014-05-15
91197294000.0,59659857000.0,183020484000.0,2330.TW,2014-06-30,2014-08-14
105581570000.0,76304606000.0,209049734000.0,2330.TW,2014-09-30,2014-11-14
110547876000.0,79970628000.0,222521075000.0,2330.TW,2014-12-31,2015-03-31
109448811000.0,78983908000.0,222034144000.0,2330.TW,2015-03-31,2015-05-15
99703945000.0,79412904000.0,205439752000.0,2330.TW,2015-06-30,2015-08-14
102316485000.0,75317300000.0,212504909000.0,2330.TW,2015-09-30,2015-11-14
98910526000.0,72842055000.0,203518563000.0,2330.TW,2015-12-31,2016-03-31
91370467000.0,64792597000.0,203495361000.0,2330.TW,2016-03-31,2016-05-15
114341245000.0,72528279000.0,221809846000.0,2330.TW,2016-06-30,2016-08-14
132039072000.0,96789113000.0,260405885000.0,2330.TW,2016-09-30,2016-11-14
137110387000.0,100228247000.0,262227252000.0,2330.TW,2016-12-31,2017-03-31
121485666000.0,87620908000.0,233914400000.0,2330.TW,2017-03-31,2017-05-15
108753243000.0,66270652000.0,213855212000.0,2330.TW,2017-06-30,2017-08-14
125876681000.0,89949228000.0,252107345000.0,2330.TW,2017-09-30,2017-11-14
138715365000.0,99306060000.0,277570284000.0,2330.TW,2017-12-31,2018-03-31
124974694000.0,89787574000.0,248078671000.0,2330.TW,2018-03-31,2018-05-15
111588104000.0,72293375000.0,233276811000.0,2330.TW,2018-06-30,2018-08-14
123380843000.0,89098072000.0,260347882000.0,2330.TW,2018-09-30,2018-11-14
138042400000.0,100005385000.0,289770193000.0,2330.TW,2018-12-31,2019-03-31
90352125000.0,61387310000.0,218704469000.0,2330.TW,2019-03-31,2019-05-15
103673230000.0,66775851000.0,240998475000.0,2330.TW,2019-06-30,2019-08-14
139432161000.0,101102454000.0,293045439000.0,2330.TW,2019-09-30,2019-11-14
159240985000.0,116078194000.0,317237065000.0,2330.TW,2019-12-31,2020-03-31
160784181000.0,117062893000.0,310597183000.0,2330.TW,2020-03-31,2020-05-15
164692825000.0,120892514000.0,310698367000.0,2330.TW,2020-06-30,2020-08-14
190480670000.0,137378151000.0,356426204000.0,2330.TW,2020-09-30,2020-11-14
195188826000.0,142824524000.0,361533057000.0,2330.TW,2020-12-31,2021-03-31
189775219000.0,139738749000.0,362410230000.0,2330.TW,2021-03-31,2021-05-15
186234135000.0,134481716000.0,372145122000.0,2330.TW,2021-06-30,2021-08-14
212848684000.0,156479154000.0,414670379000.0,2330.TW,2021-09-30,2021-11-14
230679228000.0,166373515000.0,438189306000.0,2330.TW,2021-12-31,2022-03-31
273203166000.0,202873374000.0,491075873000.0,2330.TW,2022-03-31,2022-05-15
315467994000.0,237180252000.0,534140808000.0,2330.TW,2022-06-30,2022-08-14
