ticker,revenue_year,revenue_month,revenue,avail_date
2330.TW,2005,5,19507661000,2005-06-10
2330.TW,2005,6,20105150000,2005-07-10
2330.TW,2005,7,20847066000,2005-08-10
2330.TW,2005,8,23182037000,2005-09-10
2330.TW,2005,9,25228512000,2005-10-10
2330.TW,2005,10,26227155000,2005-11-10
2330.TW,2005,11,27518437000,2005-12-10
2330.TW,2005,12,27415724000,2006-01-10
2330.TW,2006,1,26177607000,2006-02-10
2330.TW,2006,2,24008853000,2006-03-10
2330.TW,2006,3,27106885000,2006-04-10
2330.TW,2006,4,27162375000,2006-05-10
2330.TW,2006,5,26770174000,2006-06-10
2330.TW,2006,6,27294797000,2006-07-10
2330.TW,2006,7,27566707000,2006-08-10
2330.TW,2006,8,26999936000,2006-09-10
2330.TW,2006,9,26858607000,2006-10-10
2330.TW,2006,10,26850496000,2006-11-10
2330.TW,2006,11,24709112000,2006-12-10
2330.TW,2006,12,22376087000,2007-01-10
2330.TW,2007,1,20851395000,2007-02-10
2330.TW,2007,2,20577285000,2007-03-10
2330.TW,2007,3,21917909000,2007-04-10
2330.TW,2007,4,22512708000,2007-05-10
2330.TW,2007,5,25093483000,2007-06-10
2330.TW,2007,6,25245739000,2007-07-10
2330.TW,2007,7,28765630000,2007-08-10
2330.TW,2007,8,29198760000,2007-09-10
2330.TW,2007,9,28496211000,2007-10-10
2330.TW,2007,10,31724814000,2007-11-10
2330.TW,2007,11,30143487000,2007-12-10
2330.TW,2007,12,29120222000,2008-01-10
2330.TW,2008,1,30286454000,2008-02-10
2330.TW,2008,2,28381910000,2008-03-10
2330.TW,2008,3,26561739000,2008-04-10
2330.TW,2008,4,28093630000,2008-05-10
2330.TW,2008,5,28990351000,2008-06-10
2330.TW,2008,6,28510161000,2008-07-10
2330.TW,2008,7,30869472000,2008-08-10
2330.TW,2008,8,30995283000,2008-09-10
2330.TW,2008,9,28251872000,2008-10-10
2330.TW,2008,10,28370678000,2008-11-10
2330.TW,2008,11,19294770000,2008-12-10
2330.TW,2008,12,13160762000,2009-01-10
2330.TW,2009,1,12436378000,2009-02-10
2330.TW,2009,2,11503819000,2009-03-10
2330.TW,2009,3,13619497000,2009-04-10
2330.TW,2009,4,21744748000,2009-05-10
2330.TW,2009,5,24473921000,2009-06-10
2330.TW,2009,6,25777846000,2009-07-10
2330.TW,2009,7,30278581000,2009-08-10
2330.TW,2009,8,28887650000,2009-09-10
2330.TW,2009,9,28024082000,2009-10-10
2330.TW,2009,10,29180950000,2009-11-10
2330.TW,2009,11,29349036000,2009-12-10
2330.TW,2009,12,30466359000,2010-01-10
2330.TW,2010,1,29156271000,2010-02-10
2330.TW,2010,2,29195234000,2010-03-10
2330.TW,2010,3,30823003000,2010-04-10
2330.TW,2010,4,32683232000,2010-05-10
2330.TW,2010,5,33839484000,2010-06-10
2330.TW,2010,6,35113042000,2010-07-10
2330.TW,2010,7,36156392000,2010-08-10
2330.TW,2010,8,36498090000,2010-09-10
2330.TW,2010,9,36652584000,2010-10-10
2330.TW,2010,10,37372507000,2010-11-10
2330.TW,2010,11,35722299000,2010-12-10
2330.TW,2010,12,33751175000,2011-01-10
2330.TW,2011,1,34424173000,2011-02-10
2330.TW,2011,2,31753825000,2011-03-10
2330.TW,2011,3,36370479000,2011-04-10
2330.TW,2011,4,36230359000,2011-05-10
2330.TW,2011,5,35960997000,2011-06-10
2330.TW,2011,6,35653939000,2011-07-10
2330.TW,2011,7,34916788000,2011-08-10
2330.TW,2011,8,37041705000,2011-09-10
