日期,代號,名稱,動作,股數,價格,金額,費用稅,損益,原因
2026-07-13,2327.TW,國巨,買進,24,816.0,19584.0,16.74,,動能排名第 1(近60日 +152.9%)
2026-07-13,2303.TW,聯電,買進,130,153.5,19955.0,17.06,,動能排名第 2(近60日 +128.6%)
2026-07-13,2454.TW,聯發科,買進,5,3825.0,19125.0,16.35,,動能排名第 3(近60日 +103.1%)
2026-07-13,3008.TW,大立光,買進,4,4345.0,17380.0,14.86,,動能排名第 4(近60日 +54.1%)
2026-07-13,3711.TW,日月光投控,買進,29,670.0,19430.0,16.61,,動能排名第 5(近60日 +50.1%)
2026-07-15,2327.TW,國巨,賣出,24,795.0,19080.0,73.55,-504.0,"跌出排名前五,汰弱換強"
2026-07-15,2454.TW,聯發科,賣出,5,3740.0,18700.0,72.09,-425.0,"跌出排名前五,汰弱換強"
2026-07-15,3008.TW,大立光,賣出,4,4100.0,16400.0,63.22,-980.0,"跌出排名前五,汰弱換強"
2026-07-15,3711.TW,日月光投控,賣出,29,680.0,19720.0,76.02,290.0,"跌出排名前五,汰弱換強"
2026-07-15,1303.TW,南亞,買進,90,217.5,19575.0,16.74,,動能排名第 1(近60日 +155.0%)
2026-07-15,2059.TW,川湖,買進,2,8645.0,17290.0,14.78,,動能排名第 2(近60日 +130.8%)
2026-07-15,2408.TW,南亞科,買進,41,471.0,19311.0,16.51,,動能排名第 3(近60日 +128.3%)
2026-07-15,4958.TW,臻鼎-KY,買進,30,653.0,19590.0,16.75,,動能排名第 4(近60日 +112.1%)
2026-07-15,2303.TW,聯電,減碼,6,160.0,960.0,3.88,,動能排名第 5(近60日 +111.6%)
2026-07-15,4958.TW,臻鼎-KY,賣出,30,618.0,18540.0,71.47,-1050.0,"跌出排名前五,汰弱換強"
2026-07-15,1303.TW,南亞,減碼,2,227.5,455.0,2.37,,動能排名第 1(近60日 +166.7%)
2026-07-15,2303.TW,聯電,減碼,4,166.0,664.0,2.99,,動能排名第 4(近60日 +119.6%)
2026-07-15,2344.TW,華邦電,買進,110,180.5,19855.0,16.98,,動能排名第 5(近60日 +110.6%)
2026-07-17,2408.TW,南亞科,加碼,2,395.5,791.0,1.0,,動能排名第 4(近60日 +81.2%)
2026-07-17,2344.TW,華邦電,加碼,1,155.0,155.0,1.0,,動能排名第 5(近60日 +71.1%)
2026-07-31,2303.TW,聯電,賣出,120,121.0,14520.0,55.97,-3900.0,"跌出排名前五,汰弱換強"
2026-07-31,2408.TW,南亞科,賣出,43,360.5,15502.0,59.76,-4601.0,"跌出排名前五,汰弱換強"
2026-07-31,2344.TW,華邦電,賣出,111,130.0,14430.0,55.63,-5580.0,"跌出排名前五,汰弱換強"
2026-07-31,2887.TW,台新新光金,買進,422,35.95,15171.0,12.97,,動能排名第 3(近60日 +55.8%)
2026-07-31,2881.TW,富邦金,買進,116,130.0,15080.0,12.89,,動能排名第 4(近60日 +42.2%)
2026-07-31,6505.TW,台塑化,買進,214,70.8,15151.0,12.95,,動能排名第 5(近60日 +38.4%)
2026-08-06,2881.TW,富邦金,賣出,116,126.0,14616.0,56.34,-464.0,"跌出排名前五,汰弱換強"
2026-08-06,6505.TW,台塑化,賣出,214,67.1,14359.0,55.36,-792.0,"跌出排名前五,汰弱換強"
2026-08-06,2408.TW,南亞科,買進,34,459.0,15606.0,13.34,,動能排名第 4(近60日 +43.5%)
2026-08-06,2344.TW,華邦電,買進,81,171.0,13851.0,11.84,,動能排名第 5(近60日 +40.2%)
2026-08-07,2408.TW,南亞科,賣出,34,457.0,15538.0,59.9,-68.0,"跌出排名前五,汰弱換強"
2026-08-07,2344.TW,華邦電,賣出,81,163.5,13244.0,51.05,-608.0,"跌出排名前五,汰弱換強"
2026-08-07,2881.TW,富邦金,買進,129,127.0,16383.0,14.01,,動能排名第 4(近60日 +38.8%)
2026-08-07,6505.TW,台塑化,買進,175,71.0,12425.0,10.62,,動能排名第 5(近60日 +38.6%)
2026-08-14,2881.TW,富邦金,賣出,129,129.5,16706.0,64.4,322.0,"跌出排名前五,汰弱換強"
2026-08-14,6505.TW,台塑化,賣出,175,70.9,12408.0,47.83,-17.0,"跌出排名前五,汰弱換強"
2026-08-14,2408.TW,南亞科,買進,34,512.0,17408.0,14.88,,動能排名第 3(近60日 +75.3%)
2026-08-14,2344.TW,華邦電,買進,63,183.5,11560.0,9.88,,動能排名第 5(近60日 +61.0%)
2026-08-21,2344.TW,華邦電,賣出,63,181.0,11403.0,43.96,-158.0,"跌出排名前五,汰弱換強"
2026-08-21,6505.TW,台塑化,買進,149,75.8,11294.0,9.66,,動能排名第 5(近60日 +55.4%)
2026-08-28,6505.TW,台塑化,賣出,149,72.7,10832.0,41.76,-462.0,"跌出排名前五,汰弱換強"
2026-08-28,8046.TW,南電,買進,8,1295.0,10360.0,8.86,,動能排名第 3(近60日 +43.6%)
2026-09-04,2887.TW,台新新光金,賣出,422,41.5,17513.0,67.51,2342.0,"跌出排名前五,汰弱換強"
2026-09-04,2408.TW,南亞科,賣出,34,496.0,16864.0,65.01,-544.0,"跌出排名前五,汰弱換強"
2026-09-04,8046.TW,南電,賣出,8,1055.0,8440.0,32.54,-1920.0,"跌出排名前五,汰弱換強"
2026-09-04,6669.TW,緯穎,買進,7,2565.0,17955.0,15.35,,動能排名第 3(近60日 +60.7%)
2026-09-04,6505.TW,台塑化,買進,232,78.1,18119.0,15.49,,動能排名第 4(近60日 +55.4%)
2026-09-04,3017.TW,奇鋐,買進,1,3570.0,3570.0,3.05,,動能排名第 5(近60日 +53.8%)
2026-09-11,3017.TW,奇鋐,加碼,1,3370.0,3370.0,2.88,,動能排名第 4(近60日 +41.2%)
