日期,代號,名稱,動作,股數,價格,金額,費用稅,損益,原因
2026-07-13,2882.TW,國泰金,買進,206,96.7,19920.0,17.03,,"綜合排名第 1(動能 +35.0%,營收年增 +116.9%)"
2026-07-13,2327.TW,國巨,買進,24,816.0,19584.0,16.74,,"綜合排名第 2(動能 +152.9%,營收年增 +36.1%)"
2026-07-13,2382.TW,廣達,買進,52,378.0,19656.0,16.81,,"綜合排名第 3(動能 +18.7%,營收年增 +106.0%)"
2026-07-13,2376.TW,技嘉,買進,59,335.5,19794.0,16.92,,"綜合排名第 4(動能 +19.4%,營收年增 +49.1%)"
2026-07-13,2891.TW,中信金,買進,300,66.5,19950.0,17.06,,"綜合排名第 5(動能 +29.2%,營收年增 +46.3%)"
2026-07-15,2882.TW,國泰金,賣出,206,96.5,19879.0,76.63,-41.0,"跌出排名前五,汰弱換強"
2026-07-15,2327.TW,國巨,賣出,24,795.0,19080.0,73.55,-504.0,"跌出排名前五,汰弱換強"
2026-07-15,2382.TW,廣達,賣出,52,381.0,19812.0,76.38,156.0,"跌出排名前五,汰弱換強"
2026-07-15,2376.TW,技嘉,賣出,59,336.5,19854.0,76.54,59.0,"跌出排名前五,汰弱換強"
2026-07-15,2891.TW,中信金,賣出,300,63.1,18930.0,72.98,-1020.0,"跌出排名前五,汰弱換強"
2026-07-15,2408.TW,南亞科,買進,41,471.0,19311.0,16.51,,"綜合排名第 1(動能 +128.3%,營收年增率(近3月均) +689.6%)"
2026-07-15,2059.TW,川湖,買進,2,8645.0,17290.0,14.78,,"綜合排名第 2(動能 +130.8%,營收年增率(近3月均) +157.2%)"
2026-07-15,2344.TW,華邦電,買進,108,180.5,19494.0,16.67,,"綜合排名第 3(動能 +110.6%,營收年增率(近3月均) +184.7%)"
2026-07-15,2887.TW,台新新光金,買進,550,35.65,19608.0,16.76,,"綜合排名第 4(動能 +47.0%,營收年增率(近3月均) +150.4%)"
2026-07-15,1303.TW,南亞,買進,90,217.5,19575.0,16.74,,"綜合排名第 5(動能 +155.0%,營收年增率(近3月均) +27.5%)"
2026-07-15,2344.TW,華邦電,加碼,2,180.5,361.0,1.0,,"綜合排名第 3(動能 +110.6%,營收年增率(近3月均) +184.7%)"
2026-07-15,1303.TW,南亞,減碼,2,227.5,455.0,2.37,,"綜合排名第 5(動能 +166.7%,營收年增率(近3月均) +27.5%)"
2026-07-17,2408.TW,南亞科,加碼,4,395.5,1582.0,1.35,,"綜合排名第 2(動能 +81.2%,營收年增率(近3月均) +689.6%)"
2026-07-17,2344.TW,華邦電,加碼,4,155.0,620.0,1.0,,"綜合排名第 3(動能 +71.1%,營收年增率(近3月均) +184.7%)"
2026-07-17,2887.TW,台新新光金,減碼,49,35.55,1742.0,6.72,,"綜合排名第 4(動能 +48.4%,營收年增率(近3月均) +150.4%)"
2026-07-17,1303.TW,南亞,加碼,1,199.0,199.0,1.0,,"綜合排名第 5(動能 +123.7%,營收年增率(近3月均) +27.5%)"
