日期,代號,名稱,動作,股數,價格,金額,費用稅,損益,原因
2026-07-13,2327.TW,國巨,買進,24,816.0,19584.0,16.74,,"綜合排名第 1(動能 +152.9%,毛利率年變化 +2.5%)"
2026-07-13,2303.TW,聯電,買進,130,153.5,19955.0,17.06,,"綜合排名第 2(動能 +128.6%,毛利率年變化 +2.5%)"
2026-07-13,3711.TW,日月光投控,買進,29,670.0,19430.0,16.61,,"綜合排名第 3(動能 +50.1%,毛利率年變化 +3.3%)"
2026-07-13,2330.TW,台積電,買進,8,2440.0,19520.0,16.69,,"綜合排名第 4(動能 +17.3%,毛利率年變化 +7.5%)"
2026-07-13,2454.TW,聯發科,買進,5,3825.0,19125.0,16.35,,"綜合排名第 5(動能 +103.1%,毛利率年變化 -1.8%)"
2026-07-15,2327.TW,國巨,賣出,24,795.0,19080.0,73.55,-504.0,"跌出排名前五,汰弱換強"
2026-07-15,2303.TW,聯電,賣出,130,160.0,20800.0,80.18,845.0,"跌出排名前五,汰弱換強"
2026-07-15,3711.TW,日月光投控,賣出,29,680.0,19720.0,76.02,290.0,"跌出排名前五,汰弱換強"
2026-07-15,2330.TW,台積電,賣出,8,2445.0,19560.0,75.4,40.0,"跌出排名前五,汰弱換強"
2026-07-15,2454.TW,聯發科,賣出,5,3740.0,18700.0,72.09,-425.0,"跌出排名前五,汰弱換強"
2026-07-15,2408.TW,南亞科,買進,42,471.0,19782.0,16.91,,"綜合排名第 1(動能 +128.3%,毛利率年變化 +82.8%)"
2026-07-15,2344.TW,華邦電,買進,110,180.5,19855.0,16.98,,"綜合排名第 2(動能 +110.6%,毛利率年變化 +27.7%)"
2026-07-15,1303.TW,南亞,買進,91,217.5,19792.0,16.92,,"綜合排名第 3(動能 +155.0%,毛利率年變化 +4.9%)"
2026-07-15,4958.TW,臻鼎-KY,買進,30,653.0,19590.0,16.75,,"綜合排名第 4(動能 +112.1%,毛利率年變化 +7.0%)"
2026-07-15,8046.TW,南電,買進,14,1415.0,19810.0,16.94,,"綜合排名第 5(動能 +78.1%,毛利率年變化 +10.8%)"
2026-07-15,1303.TW,南亞,減碼,3,227.5,682.0,3.05,,"綜合排名第 3(動能 +166.7%,毛利率年變化 +4.9%)"
2026-07-15,4958.TW,臻鼎-KY,加碼,2,618.0,1236.0,1.06,,"綜合排名第 5(動能 +100.7%,毛利率年變化 +7.0%)"
2026-07-17,8046.TW,南電,賣出,14,1150.0,16100.0,62.07,-3710.0,"跌出排名前五,汰弱換強"
2026-07-17,2344.TW,華邦電,減碼,1,155.0,155.0,1.46,,"綜合排名第 2(動能 +71.1%,毛利率年變化 +27.7%)"
2026-07-17,1303.TW,南亞,減碼,3,199.0,597.0,2.79,,"綜合排名第 3(動能 +123.7%,毛利率年變化 +4.9%)"
2026-07-17,6505.TW,台塑化,買進,207,81.3,16829.0,14.39,,"綜合排名第 4(動能 +57.8%,毛利率年變化 +13.0%)"
