日期,代號,名稱,動作,股數,價格,金額,費用稅,損益,原因
2026-08-06,1303.TW,南亞,買進,56,178.5,9996.0,8.55,,"一次性隨機抽籤選中(種子 20260806,2026-08-06 抽出)"
2026-08-06,2059.TW,川湖,買進,1,10100.0,10100.0,8.64,,"一次性隨機抽籤選中(種子 20260806,2026-08-06 抽出)"
2026-08-06,2360.TW,致茂,買進,5,1975.0,9875.0,8.44,,"一次性隨機抽籤選中(種子 20260806,2026-08-06 抽出)"
2026-08-06,2408.TW,南亞科,買進,21,459.0,9639.0,8.24,,"一次性隨機抽籤選中(種子 20260806,2026-08-06 抽出)"
2026-08-06,2454.TW,聯發科,買進,2,3920.0,7840.0,6.7,,"一次性隨機抽籤選中(種子 20260806,2026-08-06 抽出)"
2026-08-06,2886.TW,兆豐金,買進,198,50.3,9959.0,8.52,,"一次性隨機抽籤選中(種子 20260806,2026-08-06 抽出)"
2026-08-06,2887.TW,台新新光金,買進,289,34.5,9970.0,8.52,,"一次性隨機抽籤選中(種子 20260806,2026-08-06 抽出)"
2026-08-06,2890.TW,永豐金,買進,258,38.7,9985.0,8.54,,"一次性隨機抽籤選中(種子 20260806,2026-08-06 抽出)"
2026-08-06,3017.TW,奇鋐,買進,3,2940.0,8820.0,7.54,,"一次性隨機抽籤選中(種子 20260806,2026-08-06 抽出)"
2026-08-06,8046.TW,南電,買進,9,1105.0,9945.0,8.5,,"一次性隨機抽籤選中(種子 20260806,2026-08-06 抽出)"
